Id,pctGap,realSalePrice,predictedSalePrice
31,0.821389356,40000,72855.57423
411,0.373066705,60000,82384.00228
463,0.776853206,62383,110845.4336
496,0.667929023,34900,58210.72289
582,0.251118811,253293,316899.6371
589,0.318692284,143000,188572.9966
633,0.855888571,82500,153110.8071
689,0.331051549,392000,262227.7928
813,0.525999645,55993,85445.29814
917,0.334003583,35311,47105.00053
969,0.44174128,37900,54641.99451
1325,0.679197979,147000,246842.103
1433,0.442345496,64500,93031.28452
1454,0.306063092,84500,110362.3312
