Id,pctGap,realSalePrice,predictedSalePrice
31,0.6434167454513383,40000.0,65736.66981805353
89,0.34289457859028283,84999.99999999996,55853.96081982593
143,0.2627000420469772,166000.00000000003,122391.7930202018
309,0.25797509708180527,82500.00000000001,103782.94550924895
329,0.2523614595528013,214499.99999999985,160368.466925924
411,0.5892756522989646,60000.000000000015,95356.5391379379
432,0.2706799152820182,79899.99999999997,101527.32523103322
440,0.2546438967991403,109999.99999999991,138010.82864790532
463,0.8758966206184555,62383.000000000044,117024.0588840412
480,0.29927622692574707,89471.00000000004,116247.54329927357
496,0.5997356086574979,34899.99999999998,55830.77274214664
534,0.3637751101396189,39299.99999999996,53596.36182848697
561,0.34759515238074395,121500.00000000007,163732.8110142605
582,0.3116816172652339,253293.00000000017,332239.7718819631
589,0.4769047383198567,143000.0000000001,211197.37757973964
629,0.44832215215583443,134999.99999999997,195523.4905410376
633,1.0247453665997088,82500.00000000001,167041.492744476
663,0.2561721410919663,109999.99999999991,138178.93552011618
667,0.4464489073852905,129000.0000000001,186591.90905270263
682,0.2804721253103024,159433.99999999988,114717.20717327716
689,0.31079523761674527,392000.0,270168.26685423584
706,0.2520211159666743,55000.00000000004,68861.16137816713
711,0.4581721332763665,52000.000000000044,75824.95093037112
712,0.26098855996978493,102775.99999999994,75952.63976054534
715,0.368257735971268,130499.99999999996,178557.6345442504
729,0.35039669167242354,109999.99999999991,148543.63608396647
739,0.2544675196236125,178999.99999999994,133450.31398737332
773,0.25228372850752195,107000.00000000003,133994.3589503049
813,0.37515020006397903,55992.99999999998,76998.78515218235
875,0.36828827884088633,66500.00000000006,90991.17054291902
917,0.3328522208570249,35311.00000000002,47064.34477068244
936,0.26746705486552186,79899.99999999997,101270.61768375516
969,0.7147332710423638,37900.000000000015,64988.390972505615
971,0.40141114697851393,134999.99999999997,80809.4951579006
1063,0.28203256561910234,90000.00000000001,115382.93090571923
1182,0.25772638618456317,392500.0,291342.39342255896
1212,0.32695562987657506,163999.99999999988,217620.72329975816
1325,0.8528069377253619,146999.99999999988,272362.619845628
1338,0.3045172283938334,52499.99999999997,68487.15449067621
1387,0.2622303700504919,249999.9999999998,315557.5925126227
1433,0.5060590118410069,64500.000000000015,97140.80626374496
1454,0.4293426547439771,84499.99999999994,120779.45432586598
